,Country,Dist_KM,Dist_Miles,Dist_NM,FlightTime_Hr,FlightSpeed_mph
39,China,2983.65,1853.96,1609.97,3.27,567.0
40,Colombia,15971.2,9924.05,8618.04,17.5,567.0
41,Costa Rica,16147.1,10033.34,8712.95,17.7,567.0
42,Cuba,14693.41,9130.06,7928.55,16.1,567.0
43,Cape Verde,10677.77,6634.86,5761.71,11.7,567.0
44,Christmas Island,4522.45,2810.12,2440.31,4.96,567.0
45,Cyprus,4712.13,2927.98,2542.66,5.16,567.0
46,Czech Republic,6385.68,3967.88,3445.7,7.0,567.0
47,Germany,6751.86,4195.41,3643.3,7.4,567.0
48,Djibouti,3994.23,2481.9,2155.28,4.38,567.0
49,Denmark,6854.5,4259.19,3698.68,7.51,567.0
50,Dominica,14115.93,8771.23,7616.94,15.47,567.0
51,Dominican Republic,14497.23,9008.16,7822.69,15.89,567.0
52,Algeria,7750.02,4815.64,4181.9,8.49,567.0
53,Ecuador,16773.81,10422.76,9051.13,18.38,567.0
54,Estonia,6008.28,3733.37,3242.06,6.58,567.0
55,Egypt,4923.32,3059.21,2656.62,5.4,567.0
56,Western Sahara,9261.71,5754.96,4997.61,10.15,567.0
57,Eritrea,4179.49,2597.01,2255.25,4.58,567.0
58,Spain,7941.27,4934.47,4285.1,8.7,567.0
59,Ethiopia,4312.93,2679.93,2327.25,4.73,567.0
60,Finland,6110.84,3797.1,3297.4,6.7,567.0
61,Fiji,11703.24,7272.05,6315.05,12.83,567.0
62,Falkland Islands,15035.91,9342.88,8113.36,16.48,567.0
63,Micronesia,7806.14,4850.51,4212.19,8.55,567.0
64,Faroe Islands,7783.52,4836.46,4199.98,8.53,567.0
65,France,7368.55,4578.6,3976.06,8.08,567.0
66,Gabon,7691.84,4779.49,4150.5,8.43,567.0
67,United Kingdom,7662.28,4761.12,4134.56,8.4,567.0
68,Grenada,14363.88,8925.3,7750.73,15.74,567.0
69,Georgia,4104.02,2550.12,2214.52,4.5,567.0
70,French Guiana,14121.26,8774.55,7619.82,15.48,567.0
71,Guernsey,7683.15,4774.09,4145.82,8.42,567.0
72,Ghana,8660.22,5381.21,4673.05,9.49,567.0
73,Gibraltar,8183.12,5084.75,4415.6,8.97,567.0
74,Greenland,8853.09,5501.06,4777.12,9.7,567.0
75,Gambia,9918.28,6162.93,5351.89,10.87,567.0
76,Guinea,9482.04,5891.86,5116.49,10.39,567.0
77,Guadeloupe,14052.61,8731.89,7582.77,15.4,567.0
78,Equatorial Guinea,7728.36,4802.18,4170.21,8.47,567.0
79,Greece,5778.83,3590.8,3118.25,6.33,567.0
80,South Georgia and the South Sandwich Islands,13498.1,8387.33,7283.56,14.79,567.0
81,Guatemala,15800.78,9818.15,8526.08,17.32,567.0
82,Guam,7000.98,4350.21,3777.72,7.67,567.0
83,Guinea-Bissau,9970.44,6195.35,5380.04,10.93,567.0
84,Guyana,14617.74,9083.05,7887.72,16.02,567.0
